,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
4180,Brain OG,"Brain OG, also known more commonly as “Snoop OG,” is an indica dominant hybrid (70% indica/30% sativa) strain created through a cross of the powerful",Indica Dominant Hybrid,70% Indica,30% Sativa,25.0,Earthy Citrus Kush Diesel Spicy Lemon Pungent,Cerebral Hungry Cerebral Hungry
4181,amazing grace,Amazing Grace is a sativa dominant hybrid strain created through a cross of the classic Valeria X,Sativa Dominant Hybrid,30% Indica,70% Sativa,15.0,Earthy Sweet Spicy Herbal Vanilla,Happy Uplifting Happy Uplifting
4182,Early Vixen,Early Vixen is a slightly indica dominant hybrid (60% indica/40% sativa) strain created through a powerful three-way cross of the classic,Indica Dominant Hybrid,60% Indica,40% Sativa,17.5,Sweet Spicy Herbal Fruity Skunky,Body High Relaxing Sleepy Body High Relaxing Sleepy
4183,Bugatti OG,"Bugatti OG is an indica dominant phenotype of the classic OG Kush strain that is often said to be the ultimate OG breed. Smooth long-lasting effects and a powerful 22-25% THC level make Bugatti OG a patient favorite worldwide. This high starts with an almost immediate cerebral head rush immediately after toking with an uplifted and incredibly euphoric feeling that just keeps building without becoming overwhelming. You’ll feel laser focused with a sense of motivation and creative energy yet slightly lazy with a relaxing body buzz. In this pain-free state, you may find yourself lost in your own thoughts but still able to function and focus on any task at hand. These long-lasting effects make Bugatti OG a patient favorite for treating conditions such as chronic pain, chronic stress, muscle spasms or cramps, and nausea. The Bugatti OG taste is just as delicious as its effects, with a sweet earthy honey flavor that has a delicious hint of pine to it as you continue to smoke. The aroma is slightly more pungent, with a delicate earthy diesel that has a skunkiness to it. This bud has thick and lumpy super dense forest green nugs with lots of dark olive green leaves, thin amber hairs, and a thick frosty coating of fine amber hued trichomes and super sweet sticky resin.",Hybrid,50% Indica,50% Sativa,23.5,Earthy Sweet Diesel Skunky Honey Pine,Euphoria Focus Happy Hungry Relaxing Uplifting Euphoria Focus Happy Hungry Relaxing Uplifting
4184,Meatloaf,"Meatloaf is a rare indica dominant hybrid strain created through an unknown combination of indica hybrids. Known for its super meaty flavor, Meatloaf brings on a heavy hitting high that will have you feeling sleepy and out of it in no time flat. The high starts with a subtle lift that fills the mind with a calming sense of pure happiness. As your mind settles into this blissful state, a heady effect will come over you, leaving you totally unfocused and pretty stoned. A relaxing body high accompanies this hazy state, leaving you sleepy and slightly sedated before you pass completely out into a deep and peaceful sleep. With these effects and its high 15-19% average THC level, Meatloaf is often chosen to treat those suffering from conditions such as migraines or headaches, chronic pain, nausea or appetite loss and insomnia. This bud has a super unique meaty herbal flavor with a lightly sour diesel exhale. The aroma is of earthy herbs and sour diesel with a dank spicy overtone that’s almost like rotting meat. Meatloaf buds have oversized fat airy dark olive green nugs with rich amber undertones, matching hairs and a coating of clear crystal trichomes that are dripping with sweet syrupy resin.",Indica Dominant Hybrid,70% Indica,30% Sativa,17.0,Earthy Diesel Sour Spicy Dank Herbal Skunky Pungent,Calming Cerebral Relaxing Sleepy Uplifting Calming Cerebral Relaxing Sleepy Uplifting
4185,Raspberry Cookies,Raspberry Cookies is a rare slightly indica dominant hybrid strain (60% indica/40% sativa) created through crossing the delicious,Indica Dominant Hybrid,60% Indica,40% Sativa,23.5,Earthy Sweet Citrus Diesel Sour Fruity Lemon Berry Pine Nutty,Body High Calming Creative Happy Relaxing Uplifting Body High Calming Creative Happy Relaxing Uplifting
4186,L.A.Cheese,"LA Cheese, also known as “Confidential Cheese” to many cannabis users, is an evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the insanely potent",Hybrid,50% Indica,50% Sativa,26.0,Earthy Cheese Sweet Spicy Dank Creamy Skunky,Happy Hungry Relaxing Happy Hungry Relaxing
4187,Thai Stick,"Thai Stick is a rare 100% sativa strain that is native to Thailand and was brought over to the United States during the 70s or 80s, depending on who you ask. This bud gets its name from its unique method of smoking it – typically you skewer the buds on long thin bamboo sticks. These nugs are tied to the sticks using stringy fibers pulled from the cannabis plant itself. After being secured, these nugs are often dipped in hash oil for added potency. Despite the unique method of smoking Thai Stick, it does have a fairly typical sativa high, although it can add a sense of clarity at times. The high starts slowly, infusing you with a growing sense of euphoria that eventually reaches its peak and leaves you feeling uplifted and slightly motivated. As your mind is boosted into complete happiness, your body will be washed over with a feeling of calming relaxation that doesn’t affect your ability to move but can leave you feeling exceptionally lazy. With these effects and its THC level that typically hits about 15-20% on average, without oil, Thai Stick is perfect for treating conditions such as chronic fatigue, inattentiveness, depression, appetite loss, and stress. Thai Stick has a sweet tropical flavor accented by a pungent skunky exhale that’s just a little spicy. The aroma is sweet and floral with a fruity effect that quickly takes a spicy pungent turn as the nugs are burned.",Sativa,,,17.5,Sweet Pungent Floral Tropical Fruity Skunky Pine Woody,Motivation Uplifting Motivation Uplifting
4188,Dream Kush,"Dream’s Kush is a rare indica dominant hybrid (80% indica/20% sativa) strain created through crossing the infamous Blue Dream with the classic Captain Krypt strain. Dream’s Kush surprisingly takes on the effects of its Blue Dream parent more so than the other, offering a calming lift and a sleepy comedown that can leave you dozing even after a single hit. You’ll feel an uplifted happiness at the onset of the Dream’s Kush high that builds and builds in the back of your mind without affecting your energy level. As your blissful thoughts take hold, a relaxing body high will begin to ebb and flow throughout your entire body, dropping you into a sedated state of calm and complete peace. In combination with its high 19-23% average THC level, these effects give Dream’s Kush an edge in treating conditions such as chronic pain, depression, insomnia, muscle spasms, and inflammation. Dream’s Kush has a super delicious berry kush flavor with hints of fresh herbs and woodiness on each exhale. The smell is of lemony kush and earth with a touch of spicy blueberry. Dream’s Kush buds have dense spade-shaped minty green nugs with blue undertones, lots of furry orange hairs, and a super thick coating of tiny white crystal trichomes.",Indica Dominant Hybrid,80% Indica,20% Sativa,21.0,Earthy Sweet Blueberry Kush Herbal Lemon Berry Woody,Body High Happy Relaxing Sleepy Uplifting Body High Happy Relaxing Sleepy Uplifting
4189,Dragon Crack,"An intense and potent sativa dominant strain, this hybrid is the result of two very powerful strains, Black Dragon and Green Crack. The effects of this strain start to show as soon as it sinks in. Within minutes, a strong and calming feeling will wash over you, giving you mental relief. The strain lasts for about 90 minutes and will leave you with a strong body buzz. It works well to relieve pain, cure muscle spasms and reduce stress. The tangy lemon aroma and the sweet lime flavor will have you craving for more and just a few tokes of this zesty marijuana strain will not seem enough to satisfy you. The plant of Dragon Crack strain has indica leaves with dark green hues and sativa leaves coated in shades of lime-green. The nuggets are dense and green with a coating of brown hair. The light and heady buzz of the strain makes it an ideal option for novice smokers who are looking for a way to release stress. However, they should be ready to eat lots after the effect of the strain is over as it leaves one feeling ravenous.",Hybrid,50% Indica,50% Sativa,,Sweet Sour Lemon Lime Tangy,Body High Relaxing Body High Relaxing
4190,NYPD,"NYPD, also known as “New York Power Diesel,” is a sativa dominant hybrid (70% sativa/30% indica) strain created through crossing the rare",Sativa Dominant Hybrid,30% Indica,70% Sativa,19.5,Earthy Citrus Sweet Diesel Lemon Skunky Pungent Tangy,Energizing Focus Happy Energizing Focus Happy
4191,Lazy Lightning,Lazy Lightning is a slightly indica dominant hybrid strain (60% indica/40% sativa) created through crossing the infamous Headband Loompa X (,Indica Dominant Hybrid,60% Indica,40% Sativa,23.5,Earthy Citrus Spicy Herbal Lemon Lime,Body High Hungry Relaxing Tingly Uplifting Body High Hungry Relaxing Tingly Uplifting
4192,A-Dub,A-Dub is an intensely potent indica dominant hybrid (80% indica/20% sativa) strain that's an insanely dank cross between,Indica Dominant Hybrid,80% Indica,20% Sativa,26.5,Citrus Peppery Diesel Sweet Spicy Herbal Skunky Pungent Woody,Cerebral Euphoria Focus Happy Sleepy Cerebral Euphoria Focus Happy Sleepy
4193,Face Off,"A high volume marijuana strain, this indica dominant hybrid possesses a ratio of 7:30 of sativa. With its skull crushing and nauseatingly high potency, Face Off OG can be a nightmare for first-time smokers, turning them green for a minute or two. Its first draw will jet-start a journey to cloud nine eradicating all worries, pains and dark memories. This dark green plant with attractive orange hair and crystals has a sour and sweet blended taste and dense grape-like aroma. This wonderful alternative to pain relieving pills has very few leaves and is grown both indoors and outdoors. Its muscle-relaxing aroma therapy gives an immediate buzz which lasts for 2 to 3 hours. Face Off OG Kush is a fast action enemy of insomnia, back sprain, lower back pain, Fibrositis, cluster headaches, and muscle pain. Even a soft squeeze to its dense nugs leaves you high with delightfully sticky fingers and heavenly ecstasy of grape garden. This top shelf mood elevator makes for the ideal movie night companion with its sleep driving effects.",Hybrid,50% Indica,50% Sativa,,Sweet,Cerebral Euphoria Happy Cerebral Euphoria Happy
4194,White Frost,White Frost is an evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the infamous,Hybrid,50% Indica,50% Sativa,22.0,Earthy Citrus Sweet Spicy Herbal Lemon Pine Woody,Body High Euphoria Happy Relaxing Uplifting Body High Euphoria Happy Relaxing Uplifting
4195,Purple Bubblegum,"Purple Bubblegum, not to be confused with “Sour Purple Bubb,” is a rare indica dominant hybrid strain (75% indica/25% sativa) created through crossing the infamous",Indica Dominant Hybrid,75% Indica,25% Sativa,20.0,Earthy Sweet Grape Bubble Gum Herbal Fruity Berry,Body High Calming Euphoria Relaxing Tingly Uplifting Body High Calming Euphoria Relaxing Tingly Uplifting
4196,Nookie,"Nookie, also known as “Nookies,” is a sativa dominant hybrid strain (70% sativa/30% indica) created through a potent cross of the classic",Sativa Dominant Hybrid,30% Indica,70% Sativa,19.0,Sugary Earthy Sweet Grape Cherry Fruity Berry Pungent Nutty,Creative Energizing Euphoria Motivation Uplifting Creative Energizing Euphoria Motivation Uplifting
4197,Peach Ozz,"Peach Ozz is a sativa dominant hybrid strain (70% sativa/30% indica) created through crossing the delicious Oz Kush X Peach Ringz strains. If you’re a fan of the classic peach rings candy, you’re totally going to fall in love with Peach Ozz. This baby packs a super sugary sweet peach flavor with a notable sour exhale. The aroma is earthy and sweet with a slightly sour overtone and hints of ripe peaches and spicy fruits. The Peach Ozz high is just as enticing as the flavor, with full-bodied effects that hit both mind and body with a buzzy happiness and sociable chattiness. The high starts with a lifted effect that fills your mind with a sense of happiness and a deeply relaxing feeling that erases any negative or racing thoughts. These will be replaced with focus and motivation, giving you the clarity that you need to get started on any mental undertaking or engaging in conversation with friends and family alike. With these effects and its high 23-24% average THC level, Peach Ozz is often chosen to treat those suffering from conditions such as chronic fatigue, depression, migraines or headaches, mood swings and chronic pain. This bud has small super dense rounded olive green nugs with rich amber undertones, red-orange hairs, and a coating of tiny purple-tinted bright white crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,23.5,Sugary Earthy Sweet Candy Sour Fruity Herbal Pungent,Body High Cerebral Focus Happy Relaxing Tingly Body High Cerebral Focus Happy Relaxing Tingly
4198,Cheddar Cheese,"It's hard to find much of any information on this rare cheese strain. There seems to be some confusion as to exactly where it comes from, and the term ""cheddar cheese"" may be used to refer to other, unrelated strains. The real thing has a 50:50 ratio of sativa to indica. That means this strain should deliver a mix of mind and body effects, ideal for relieving daytime stress. CBD levels are low in Cheddar Cheese, so it isn't the best choice for treating conditions that respond to that chemical. But THC levels are high, making this a potent choice for mood disorders and anxiety. Purportedly a descendant of Skunk #1 and an original Afghani strain, it's a close cousin of the original UK Cheese. Like that strain, Cheddar Cheese has a sharp, skunky cheese aroma and flavor. The buds have a light green appearance with dark orange hairs and a thick layer of glistening trichomes. Side effects include dry mouth and bloodshot eyes, with limited reports of paranoia and dizziness. Found mostly in its home country, this strain is a local specialty that isn't common elsewhere. You may find original Cheese mislabeled as Cheddar Cheese, but these two strains are not the same.",Hybrid,50% Indica,50% Sativa,,Skunky Cheesy,Body High Relaxing Body High Relaxing
4199,Orange Dream,"Like its fellow Orange cousins, this sativa-dominant hybrid has a distinct orange flavor and aroma, with sweet hints of lemon. It's a crossbreed of Orange Crush and Blue Dream, both very popular strains in their own rights. The THC levels in this strain are relatively high, hitting 18% in some tests. CBD levels are also strong, at least relative to most other popular strains: Between 2% and 3%. That means Orange Dream can be a useful treatment for seizure disorders and other conditions that respond to CBD. The exact ratio of sativa to indica is unknown, however. As a sativa, Orange Dream delivers a euphoric, upbeat punch with a strong dose of creativity and contrasting feelings of laziness. This strain can be used to treat anxiety, mood disorders, lack of appetite, and chronic pain. Dry mouth and dry eyes are relatively common, but other adverse effects are more rare. Orange Crush is an ideal choice for busy days and social situations, as it provides a spirited boost of energy. Found mostly in California and Washington State, this strain is relatively rare in other parts of the United States.",Hybrid,50% Indica,50% Sativa,16.0,Orange Earthy Citrus Sweet Spicy Fruity Creamy Vanilla,Creative Energizing Euphoria Focus Happy Relaxing Sociable Creative Energizing Euphoria Focus Happy Relaxing Sociable
4200,Fortune Cookies,"Fortune Cookies, also known as “Cookies N Kush,” is a sativa dominant hybrid strain created through crossing the classic",Sativa Dominant Hybrid,30% Indica,70% Sativa,24.0,Earthy Sweet Herbal Skunky Honey Pungent Nutty,Body High Cerebral Creative Relaxing Uplifting Body High Cerebral Creative Relaxing Uplifting
4201,Crypt,"Crypt is an extremely rare indica dominant hybrid strain with parentage due to a high level of breeder secrecy. Although it's exact parentage is , it is pretty commonly thought to be a cross of",Hybrid,50% Indica,50% Sativa,,Cheese Citrus Sweet Lemon Cheesy Woody,Creative Euphoria Focus Giggly Happy Relaxing Creative Euphoria Focus Giggly Happy Relaxing
4202,Space Cream,"Space Cream is an indica dominant hybrid (70% indica/30% sativa) strain with unknown parentage due to a general lack of information about its heritage. Although there are many theories as to how this bud came about, none of them can truly be confirmed. Nonetheless, Space Cream packs one tasty flavor and spaced out high that’s perfect for any indica lover who appreciates a delicious taste. Space Cream is said to taste like citrus haze with a creamy vanilla lemon exhale. The aroma is of sweet lemons and haze with a touch of vanilla cream. And if you like its flavor, you’ll love the Space Cream high. The high starts with a happy lift that boosts your mood and infuses you with a sense of utter well-being. You may feel creatively inspired with social tendencies, talking to anyone around you about anything that comes to mind. Even with this lifted cerebral state, you’ll still stay anchored with a relaxing tingly body effect that keeps you utterly calm. Coupled with its powerful 24% average THC level, these effects make Space Cream the perfect choice for treating patients suffering from conditions such as chronic pain, mood swings, depression, headaches, and appetite loss. Space Cream buds have small piecey forest green nugs with bright red orange hairs and a coating of bright amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,24.0,Earthy Citrus Sweet Creamy Lemon Pine Vanilla,Creative Euphoria Happy Relaxing Uplifting Creative Euphoria Happy Relaxing Uplifting
4203,Grape L.A.,Grape L.A. is an indica dominant hybrid strain (80% indica/20% sativa) created through crossing the classic,Indica Dominant Hybrid,80% Indica,20% Sativa,30.0,Earthy Coffee Sweet Dank Herbal Pungent,Body High Calming Happy Relaxing Sleepy Body High Calming Happy Relaxing Sleepy
4204,Mohan Ram,Mohan Ram is an insanely potent indica dominant hybrid (85% indica/15% sativa) strain that boasts an impressive average THC level ranging from 18-21% and an average CBD level between 1-1.5%. This dank bud was created by breeders at the infamous Sweet Seeds farms and is a cross of the hugely popular,Indica Dominant Hybrid,85% Indica,15% Sativa,,Pungent Floral Fruity,Body High Body High
4205,Fruit Salad,Fruit Salad is a rare indica dominant hybrid (70% indica/30% sativa) strain created through crossing the delicious,Indica Dominant Hybrid,70% Indica,30% Sativa,20.0,Earthy Citrus Sweet Tropical Fruity Berry,Relaxing Sleepy Uplifting Relaxing Sleepy Uplifting
4206,Ladyburn 1974,Ladyburn 1974 is an indica dominant hybrid (70% indica/30% sativa) strain created as a cross of the insanely popular,Indica Dominant Hybrid,70% Indica,30% Sativa,22.5,Earthy Peppery Chemical Diesel Lemon Skunky Pepper Pine,Cerebral Creative Giggly Hungry Sleepy Cerebral Creative Giggly Hungry Sleepy
4207,Ewok,"A cross between Tahoe Alien and Albert Walker, Ewok won the Hybrid of the year at the Seattle High times Cannabis Cup in 2013. It is a fast-growing plant that is bred by Alien Genetics and comprises of a short vegetative cycle. However, it yields large harvests of buds covered in frost that are as hairy as the Star Wars Woks. Essentially, it is an Indica dominant hybrid. It is a mixture of Kush, citrus, nuts, hash and mint. Woks are furry and short with red hairs and a smell similar to a mix of Kush and tangerines. Ewok induces some powerful, cerebrally-focused effects and these are caused by the bitterness of lemon and tangerines. These effects relieve people of stress and bring about a feeling of relaxation. This strain is a feasible option for the treatment of insomnia and pain as well. Users of Ewok can expect to be surprised by the energetic and calming high that it induces. Many users feel that it triggers creativity. It is ideal for dealing with chronic pain, muscle spasms and inflammation. Ewok tends to leave users with a sedated feeling. It is considered a good option for people suffering from insomnia and is also believed to increase appetite.",Hybrid,50% Indica,50% Sativa,20.0,Earthy Citrus Pungent Fruity Lemon Pine,Creative Energizing Euphoria Focus Happy Relaxing Creative Energizing Euphoria Focus Happy Relaxing
4208,Kryptonite Blue,"Kryptonite Blue has a relative abundance of THC, scoring above 20% in some tests. This makes it an effective medical selection for the treatment of anxiety, sleeplessness, stress, and lack of appetite, as it can spur powerful hunger. It's a clone-only descendant of Blueberry and Kryptonite, both strong, heavy indicas. The exact ratio of sativa to indica in this strain is unclear, though it's classified as a hybrid. The effects appear to be mostly cerebral, suggesting the sativa genes are strong if not dominant in Kryptonite Blue. The high is alert, energized, and mentally focused. While THC levels are relatively high, CBD levels definitely aren't. At less than 1% CBD, Kryptonite Blue is not recommended as the only medicine for health problems that respond to CBD, including seizure disorders. This strain has an earthy, woody flavor and a similar smell, while the nugs are a patchwork of green leaves and grayish-brown hairs. There are few reports of side effects, but patients should expect the usual problems: dry eyes, paranoia, and dry mouth. Kryptonite Blue can be found on Arizona's legal medical market, but it's rare pretty much everywhere else.",Hybrid,50% Indica,50% Sativa,,Earthy Sweet Spicy Skunky Pungent,Body High Body High
4209,Christmas Tree,"Christmas Tree is an indica dominant hybrid strain that is a phenotype of the infamous Pine OG. No surprise here – Christmas Tree buds have nugs that look exactly like a fluffy green Christmas tree. Each forest green nug is speckled with light amber hairs completely coated in shiny glittering crystal trichomes that almost look like Christmas ornaments. The aroma is exactly what you’d think, too – sweet earthy pine that’s incredibly fresh with hints of lemongrass and herbs. The flavor is woody and fresh with a heavy pine taste that has a slightly pungent aftertaste. Christmas Tree has a full-bodied high that leaves you feeling incredibly relaxed and lazy in nature for long after you toke. It starts with an uplifted calm that boosts your mood and leaves you feeling happy without causing an energy increase or making you feel anxious. At the same time, a creeping body high will wash over you, lulling you into a slightly sleepy state that’s hard to break out of. With its super potent 25.4% THC level, Christmas Tree is the perfect choice, any time of the year, for treating conditions such as mood swings, insomnia, chronic stress, and chronic pain.",Indica Dominant Hybrid,70% Indica,30% Sativa,25.0,Earthy Pungent Sweet Herbal Pine Woody,Happy Relaxing Sleepy Happy Relaxing Sleepy
4210,White Gold,White Gold is a slightly indica dominant hybrid (60% indica/40% sativa) strain created through a cross of the insanely popular,Indica Dominant Hybrid,60% Indica,40% Sativa,25.0,Earthy Sweet Diesel Fruity Lime Skunky Pungent Woody,Cerebral Euphoria Focus Relaxing Sociable Cerebral Euphoria Focus Relaxing Sociable
4211,Dream Lotus,Dream Lotus is an evenly balanced hybrid (50% indica/50% sativa) strain created through a cross of the beloved,Hybrid,50% Indica,50% Sativa,17.0,Citrus Sweet Blueberry Menthol Spicy Pine Buttery Berry Mint Woody,Creative Energizing Euphoria Focus Relaxing Uplifting Creative Energizing Euphoria Focus Relaxing Uplifting
4212,George Bush,"George Bush is an indica dominant hybrid strain with an 80:20 indica/sativa ratio. With an incredible 20% THC content, the strain is not to be taken lightly. The strain produces some of the finest buds and is dark green in color with hues of purples, pinks and oranges. The buds are dense and quite large and look completely different from any other strain you have medicated with before. However, the buds are flakey and dry and may not appeal to most cannabis users. On the other hand, George Bush has a strong smell and it really feels as though you are smoking a high grade strain. As for the taste, it is just as strong as its smell during the inhale and is exceptionally sweet and smooth at the same time. George Bush has plenty to offer for almost all cannabis users. The strain got its name because most cannabis users are unable to make a sentence after medicating with it due to its potency. You will experience symptoms of euphoria and will feel extremely happy. As soon as you take a hit, you will feel relaxed and stoned in no time. Considering George Bush's numbing and relaxing effects, it is often recommended to patients suffering from medical conditions like pains, aches, insomnia, muscles spasms and depression.",Indica Dominant Hybrid,80% Indica,20% Sativa,20.0,Pungent Sweet Skunky,Euphoria Giggly Relaxing Euphoria Giggly Relaxing
4213,Gasmask,Gasmask is an indica dominant hybrid strain created through crossing the infamous,Indica Dominant Hybrid,70% Indica,30% Sativa,22.0,Earthy Sweet Fruity Lemon Berry Pungent,Relaxing Relaxing
4214,Wild Zombie,"You may not actually be a zombie like in the hit show, The Walking Dead, but the Wild Zombie strain could very well put you on that level. This potent indica dominant hybrid (75% indica/25% sativa) offers a 16-18% THC level and a slow-onset, long lasting high. The genetics of this strain are kept under wraps by the creators, although users agree that it is probably a Zombie OG phenotype. The Wild Zombie bud has a crystal-coated minty green body that's insanely dense and woven with long orange hairs and decked with purple undertones. This bud is just as wild to look at as it is to smoke! Users typically feel a sensation of full body relief and euphoria accompanied with a sense of tranquility and calm focus. This strain is ideal for treating stress, migraines, tension headaches and chronic pain due to prolonged illnesses such as cancer and multiple sclerosis. But be careful – too much of the Wild Zombie and you'll be couch-locked, lethargic , and a living zombie for the rest of the day!",Indica Dominant Hybrid,75% Indica,25% Sativa,,Earthy Sweet Spicy Herbal Skunky Pungent,Body High Euphoria Relaxing Body High Euphoria Relaxing
4215,Blue Magoo Meteorite,Blue Magoo Meteorite is a rare slightly indica dominant hybrid strain created through a cross of the classic,Indica Dominant Hybrid,70% Indica,30% Sativa,37.0,Earthy Sweet Blueberry Herbal Berry Woody,Euphoria Hungry Relaxing Uplifting Euphoria Hungry Relaxing Uplifting
4216,Black Star,Black Star is a perfectly balanced hybrid (50% indica/50% sativa) strain that was created by breeders at the infamous Healing Canna farms in Colorado Springs. This dank bud is a potent cross between the insanely popular,Hybrid,50% Indica,50% Sativa,20.0,Earthy Citrus Sweet Hash Fruity,Body High Cerebral Creative Happy Relaxing Body High Cerebral Creative Happy Relaxing
4217,Cookies N Cream,"Cookies N Cream, also known as “Cookies and Cream,” is an evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the delicious",Hybrid,50% Indica,50% Sativa,24.0,Earthy Vanilla Sweet Nutty,Happy Relaxing Uplifting Happy Relaxing Uplifting
4218,Black Pearl,"Black Pearl is a sativa dominant hybrid (70% sativa/30% indica) strain created by breeders at the Northern California Natural Collective. The exact genetics of this strain are unknown due to secrecy of its breeders, although many members of the cannabis community believe that it is a four-way cross between the insanely popular",Sativa Dominant Hybrid,30% Indica,70% Sativa,17.0,Berry,Body High Euphoria Focus Body High Euphoria Focus
4219,Black Rhino OG Kush,Black Rhino OG Kush is an indica dominant hybrid (85% indica/15% sativa) strain that boasts a moderately high THC level ranging from 15-18% on average. This dank bud has two different genetic tendencies that lead to a very similar result: one is a,Indica Dominant Hybrid,85% Indica,15% Sativa,16.5,Earthy Citrus Spicy Berry Pepper,Body High Happy Relaxing Body High Happy Relaxing
4220,M&M,"This indica dominant strain has been relied upon as the ultimate relaxant - possessing a psychedelic nature. Sharing the attributes with many strains belonging to different families of the cannabis world, this strain does its magic when it comes to curing pain and muscle spasms. Patients stuck in the battle against anxiety and depression rely upon M&M to give them a strong buzz with a strong sensational feeling to slowly relax the body. The woody composition makes it taste a lot like wood with a sharp tinge to the taste buds and throat. Thus, some patients describe it as spicy. The woody taste gives it a pine-like aroma, which spreads in enclosed spaces quite quickly.",Hybrid,50% Indica,50% Sativa,,Spicy Pine Skunky Woody,Body High Relaxing Body High Relaxing
4221,Cookie Monster,"Cookie Monster is a powerful marijuana strain that has a THC and CBD levels of 17.9 percent and 0.2 percent, respectively. It is a popular Indica strain which came first in the 2014 Seattle Cannabis Cup. It was termed as the best Indica of the U.S. during that competition. Cookie Monster is a crossed between OG Kush and Girl Scout Cookies. It has a sticky and dense resinous appearance that contains several buds. The buds have are purple and dark green in color and have striking orange colored pistils. It has a pleasant aroma with hints of woody and minty odors. The strain is quite pleasant to smoke as it has a wonderful taste. The taste is a mixture of woody, vanilla, lemon, menthol, sweet and minty flavors. Cookie Monster is perfect for treating different kinds of mild and chronic pains. You can use it for mitigating arthritis and back aches. In addition to that, it has great soothing effects on anxiety and stress. It is great for smoking during the day and has a long lasting effect on your system. You can also use it for curing migraines, muscle spasms, phantom limbs, neuropathic pain, loss of appetite and multiple sclerosis.",Indica,,,19.0,Sweet Menthol Pine Skunky Mint Woody Vanilla,Body High Creative Euphoria Happy Sleepy Body High Creative Euphoria Happy Sleepy
4222,Strawberry Tangie,Strawberry Tangie is a sativa dominant hybrid strain created through crossing the infamous,Sativa Dominant Hybrid,30% Indica,70% Sativa,17.5,Earthy Orange Citrus Sweet Sour Strawberry,Creative Energizing Euphoria Focus Happy Uplifting Creative Energizing Euphoria Focus Happy Uplifting
4223,White 99,"White 99 is a sativa dominant hybrid strain created through crossing the classic The White with the delicious Cinderella 99. This bud packs a super powerful high that can easily become overwhelming for users who suffer from anxiety or paranoia in the slightest thanks to its heady effects and 25% + average THC level. The White 99 high creeps up on you with a slowly building effect, suddenly taking ahold of your mind and body with insane strength. You’ll feel a smash of creativity and focus that launches your mind into a heady cerebral state. You won’t feel an increase in energy in this state, rather your body will be relaxed without becoming sleepy or sedated. Thanks to these hard-hitting effects, White 99 is often chosen to treat conditions such as depression, chronic stress, insomnia, chronic fatigue, and nausea. This bud has a sweet and sour tangy lemon flavor with hints of zesty orange on the exhale. The aroma is of sour earthy and fresh citrus with a woody pine effect that’s released as the nugs are burned. White 99 buds have spade-shaped bright neon green nugs with long orange hairs and a coating of tiny amber colored crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,25.0,Orange Earthy Citrus Pine Lemon Sour Herbal Woody Tangy,Creative Focus Long Lasting Creative Focus Long Lasting
4224,Best Friend OG,Best Friend OG is a slightly sativa dominant hybrid strain (60% sativa/40% indica) created through crossing the infamous,Sativa Dominant Hybrid,40% Indica,60% Sativa,20.0,Earthy Sweet Grape Spicy Dank Herbal Fruity Berry Pungent,Energizing Euphoria Giggly Sociable Uplifting Energizing Euphoria Giggly Sociable Uplifting
4225,ACCORN SNOWBUD,"Accorn Snowbud, also known as “Akorn” or “Snowbud,” is an evenly balanced hybrid (50% indica/50% sativa) strain created through crossing",Hybrid,50% Indica,50% Sativa,25.5,Sugary Sweet Chemical Sour Skunky Woody Vanilla,Cerebral Euphoria Happy Relaxing Uplifting Cerebral Euphoria Happy Relaxing Uplifting
4226,Breakfast of Champions,Breakfast of Champions is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the infamous,Hybrid,50% Indica,50% Sativa,30.0,Earthy Sweet Sour Pine Herbal Fruity Berry Mint,Euphoria Hungry Relaxing Uplifting Euphoria Hungry Relaxing Uplifting
4227,M.O.A.B.,"M.O.A.B., also known as “Mother of All Buds,” is a sativa dominant hybrid strain (80% sativa/20% indica) created through crossing the classic",Sativa Dominant Hybrid,20% Indica,80% Sativa,25.0,Earthy Sweet Blueberry Diesel Spicy Herbal Fruity,Body High Cerebral Euphoria Happy Relaxing Uplifting Body High Cerebral Euphoria Happy Relaxing Uplifting
